time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-31 00:00:00+00:00,1.0,1.0,8,1
2023-02-01 00:00:00+00:00,,,2,2
2023-02-02 00:00:00+00:00,,,1,1
2023-02-03 00:00:00+00:00,,,4,2
2023-02-05 00:00:00+00:00,,,2,1
2023-02-07 00:00:00+00:00,1.0,1.0,4,1
