url_path,views_total,views_unique
/mepa1363/amazon-location-search-widget,2,1
/mepa1363/amazon-location-search-widget/blob/main/amplify/backend/geo/locationsearchmap/cli-inputs.json,1,1
/mepa1363/amazon-location-search-widget/blob/main/amplify/backend/geo/locationsearchwidget/cli-inputs.json,1,1
/mepa1363/amazon-location-search-widget/blob/main/src/App.vue,1,1
/mepa1363/amazon-location-search-widget/blob/main/src/main.js,1,1
/mepa1363/amazon-location-search-widget/tree/main/amplify,1,1
/mepa1363/amazon-location-search-widget/tree/main/amplify/backend,1,1
/mepa1363/amazon-location-search-widget/tree/main/amplify/backend/geo,1,1
/mepa1363/amazon-location-search-widget/tree/main/amplify/backend/geo/locationsearchmap,1,1
/mepa1363/amazon-location-search-widget/tree/main/amplify/backend/geo/locationsearchwidget,1,1
